trad_char,trad_freq,trad_stroke_count,trad_id,trad_unicode,simpl_char,simpl_stroke_count,english,simpl_freq,flags
椅,5289,12,A01957,6905,椅,12,"chair",10917,[]
夥,5288,14,A00845,5925,伙,6,"group of people",28724,"['diff', 'many-to-one']"
碗,5279,13,A02844,7897,碗,13,"bowl",7773,[]
丙,5272,5,A00011,4E19,丙,5,"third",3055,[]
荷,5260,11,A03492,8377,荷,10,"lotus",15249,[]
披,5255,8,A01532,62AB,披,8,"drape",6790,[]
趨,5244,17,A04000,8DA8,趋,12,"tend toward",14160,['diff']
劫,5241,7,A00383,52AB,劫,7,"rob",8752,[]
迅,5239,7,A04114,8FC5,迅,6,"rapid",26321,[]
笛,5238,11,A02992,7B1B,笛,11,"flute",3409,[]
烤,5237,10,A02404,70E4,烤,10,"roast",3125,[]
肩,5233,8,A03304,80A9,肩,8,"shoulder",15528,[]
遷,5222,15,A04182,9077,迁,6,"relocate",11433,['diff']
鹿,5200,11,A04752,9E7F,鹿,11,"deer",6599,[]
缸,5193,9,A03196,7F38,缸,9,"vat",2437,[]
慾,5190,15,A01433,617E,欲,11,"physical desire, any desire in general",28856,"['diff', 'many-to-one']"
爐,5190,20,A02463,7210,炉,8,"stove",7295,['diff']
丈,5182,3,A00006,4E08,丈,3,"ten feet",20372,[]
巡,5165,7,A04116,5DE1,巡,6,"make a touring inspection",12852,[]
秤,5135,10,A02919,79E4,秤,10,"steelyard",765,[]
沿,5129,8,A02178,6CBF,沿,8,"along",22781,[]
痕,5113,11,A02676,75D5,痕,11,"scar",7805,[]
濫,5110,17,A02358,6FEB,滥,13,"flood",4964,['diff']
漲,5107,14,A02314,6F32,涨,10,"rise",9089,['diff']
腰,5106,13,A03346,8170,腰,13,"waist",14841,[]
賤,5106,15,A03964,8CE4,贱,9,"worthless",3270,['diff']
妥,5103,7,A00898,59A5,妥,7,"appropriate",8634,[]
液,5079,11,A02218,6DB2,液,11,"liquid",14940,[]
鵝,5069,18,A04732,9D5D,鹅,12,"goose",5703,['diff']
軌,5054,9,A04064,8ECC,轨,6,"gauge, track",8273,['diff']
叔,5047,8,A00474,53D4,叔,8,"father's younger brother",15310,[]
陵,5046,11,A04422,9675,陵,10,"mound",7436,[]
貞,5040,9,A03928,8C9E,贞,6,"virginity",4414,['diff']
扭,5035,7,A01510,626D,扭,7,"twist",9054,[]
漠,5025,14,A02304,6F20,漠,13,"desert",9366,[]
蝦,5016,15,A03660,8766,虾,9,"shrimp",2338,['diff']
捉,5015,10,A01579,6349,捉,10,"catch",8838,[]
謠,5014,17,A03876,8B20,谣,12,"rumour",3219,['diff']
膠,5012,15,A03363,81A0,胶,10,"glue",5721,['diff']
遞,5007,14,A04177,905E,递,10,"deliver",13012,['diff']
髒,4984,23,A04664,9AD2,脏,10,"dirty",11350,"['diff', 'many-to-one']"
倆,4966,10,A00178,5006,俩,9,"two",12340,['diff']
旺,4958,8,A01778,65FA,旺,8,"prosper",5529,[]
杉,4947,7,A01871,6749,杉,7,"species of fir",2805,[]
